LAT	LON	YEAR	DOY	ALLSKY_SFC_SW_DWN	RH2M	PS	T2M	WS10M
57.01101	-111.62049	2015	1	1.19	82.62	96.47	-20.41	1.63
57.01101	-111.62049	2015	2	1.64	78.89	96.93	-27.03	1.52
57.01101	-111.62049	2015	3	1.54	75.56	97.96	-31.45	2.03
57.01101	-111.62049	2015	4	1.4	82.08	97.36	-26.53	2.69
57.01101	-111.62049	2015	5	1.05	80.91	97.07	-24.76	2.18
57.01101	-111.62049	2015	6	1.67	78.75	98.77	-30.97	2.06
57.01101	-111.62049	2015	7	0.53	86.75	97.65	-24.91	2.02
57.01101	-111.62049	2015	8	1.81	80.67	98.22	-26.36	2.86
57.01101	-111.62049	2015	9	2	83.52	96.9	-30.45	2.15
57.01101	-111.62049	2015	10	2.06	80.54	96.73	-29.12	2.14
57.01101	-111.62049	2015	11	1.65	81.38	97.02	-27.51	2.2
57.01101	-111.62049	2015	12	1.27	84.81	96.61	-19.98	1.63
57.01101	-111.62049	2015	13	1.02	86.51	96.35	-16.61	1.63
57.01101	-111.62049	2015	14	1.02	95.29	95.88	-11.42	2.13
57.01101	-111.62049	2015	15	0.71	83.28	96.23	-19.4	1.82
57.01101	-111.62049	2015	16	0.99	98.71	94.1	-8	2.95
57.01101	-111.62049	2015	17	1.73	96.39	94.86	-6.38	1.84
57.01101	-111.62049	2015	18	2.49	91.73	94.66	-9.38	1.88
57.01101	-111.62049	2015	19	1.94	88.14	95.74	-11.97	1.16
57.01101	-111.62049	2015	20	2.26	84.67	96.83	-15.7	1.36
57.01101	-111.62049	2015	21	1.06	100	95.31	-7.15	2.77
57.01101	-111.62049	2015	22	1.4	99.38	94.84	-0.45	2.44
57.01101	-111.62049	2015	23	1.5	98	95.47	-5.51	1.08
57.01101	-111.62049	2015	24	1.96	98.71	95.28	-2.55	1.92
57.01101	-111.62049	2015	25	1.71	99.29	94.78	-1.36	2.48
57.01101	-111.62049	2015	26	2.86	97.75	95.59	-6.7	1.81
57.01101	-111.62049	2015	27	2.9	83.03	96.57	-21.53	1.72
57.01101	-111.62049	2015	28	2.44	81.1	97.32	-23.62	1.6
57.01101	-111.62049	2015	29	1.97	88.53	97.33	-21.84	1.41
57.01101	-111.62049	2015	30	3.66	83.76	97.98	-25.24	1.95
57.01101	-111.62049	2015	31	3.77	82.23	98.16	-27.84	1.6
57.01101	-111.62049	2015	32	3.77	84.24	97.02	-21.73	1.84
57.01101	-111.62049	2015	33	3.8	81.79	96.54	-24.02	2.1
57.01101	-111.62049	2015	34	4.45	79.38	96.76	-25.69	1.93
57.01101	-111.62049	2015	35	4.29	83.59	95.76	-21.25	2.68
57.01101	-111.62049	2015	36	4.23	80.49	96.67	-25.93	1.73
57.01101	-111.62049	2015	37	1.7	79.11	96.17	-24.79	2.42
57.01101	-111.62049	2015	38	1.98	79.38	95.34	-23.91	2.03
57.01101	-111.62049	2015	39	5.09	79.64	96.91	-27.09	1.35
57.01101	-111.62049	2015	40	4.02	83.12	96.98	-25.69	1.33
57.01101	-111.62049	2015	41	4.73	80.24	97.76	-26.43	2.02
57.01101	-111.62049	2015	42	4.56	93.09	97.9	-29.4	2.55
57.01101	-111.62049	2015	43	3.21	87.34	96.42	-17.76	1.54
57.01101	-111.62049	2015	44	5.36	83.23	97.53	-21.43	2.35
57.01101	-111.62049	2015	45	2.46	91.26	96.44	-14.6	3.08
