DOY;Temp(2.5m) [°C];Temp(7.5m) [°C];Turb(2.5m) [NTU];Turb(7.5m) [NTU]
1;0.23;2.79;NaN;NaN
2;0.24;2.88;NaN;NaN
3;0.24;3.02;NaN;NaN
4;0.23;3.16;NaN;NaN
5;0.22;3.20;NaN;NaN
6;0.21;3.20;NaN;NaN
7;0.17;3.19;NaN;NaN
8;0.12;3.18;NaN;NaN
9;0.08;3.08;NaN;NaN
10;0.07;3.22;NaN;NaN
11;0.07;3.29;NaN;NaN
12;0.07;3.20;NaN;NaN
13;0.07;3.12;NaN;NaN
14;0.08;3.11;NaN;NaN
15;0.10;3.09;NaN;NaN
16;0.11;2.99;NaN;NaN
17;0.13;2.86;NaN;NaN
18;0.16;2.78;NaN;NaN
19;0.19;2.70;NaN;NaN
20;0.21;2.63;NaN;NaN
21;0.23;2.77;NaN;NaN
22;0.22;2.98;NaN;NaN
23;0.22;3.05;NaN;NaN
24;0.22;3.12;NaN;NaN
25;0.22;3.16;NaN;NaN
26;0.23;3.14;NaN;NaN
27;0.24;3.11;NaN;NaN
28;0.25;3.08;NaN;NaN
29;0.23;3.10;NaN;NaN
30;0.22;3.18;NaN;NaN
31;0.20;3.24;NaN;NaN
32;0.18;3.08;NaN;NaN
33;0.17;2.92;NaN;NaN
34;0.16;2.90;NaN;NaN
35;0.14;3.15;NaN;NaN
36;0.14;3.14;NaN;NaN
37;0.14;2.83;NaN;NaN
38;0.15;2.64;NaN;NaN
39;0.15;2.64;NaN;NaN
40;0.15;2.68;NaN;NaN
41;0.15;2.73;NaN;NaN
42;0.15;2.77;NaN;NaN
43;0.15;2.77;NaN;NaN
44;0.12;2.77;NaN;NaN
45;0.10;2.78;NaN;NaN
46;0.08;2.78;NaN;NaN
47;0.07;2.80;NaN;NaN
48;0.08;2.81;NaN;NaN
49;0.09;2.83;NaN;NaN
50;0.10;2.82;NaN;NaN
51;0.11;2.79;NaN;NaN
52;0.12;2.75;NaN;NaN
53;0.12;2.76;NaN;NaN
54;0.13;2.88;NaN;NaN
55;0.13;2.99;NaN;NaN
56;0.13;3.08;NaN;NaN
57;0.13;3.13;NaN;NaN
58;0.12;3.17;NaN;NaN
59;0.12;3.15;NaN;NaN
60;0.11;3.03;NaN;NaN
61;0.10;2.93;NaN;NaN
62;0.12;2.85;NaN;NaN
63;0.14;2.77;NaN;NaN
64;0.16;2.88;NaN;NaN
65;0.19;2.99;NaN;NaN
66;0.21;3.10;NaN;NaN
67;0.23;2.94;NaN;NaN
68;0.25;2.94;NaN;NaN
69;0.26;2.95;NaN;NaN
70;0.28;2.95;NaN;NaN
71;0.29;2.92;NaN;NaN
72;0.30;2.85;NaN;NaN
73;0.28;2.79;NaN;NaN
74;0.26;2.71;NaN;NaN
75;0.24;2.64;NaN;NaN
76;0.22;2.65;NaN;NaN
77;0.23;2.66;NaN;NaN
78;0.24;2.67;NaN;NaN
79;0.25;2.66;NaN;NaN
80;0.26;2.62;NaN;NaN
81;0.28;2.59;NaN;NaN
82;0.29;2.55;NaN;NaN
83;0.31;2.52;NaN;NaN
84;0.32;2.48;NaN;NaN
85;0.33;2.45;NaN;NaN
86;0.34;2.42;NaN;NaN
87;0.35;2.40;NaN;NaN
88;0.36;2.39;NaN;NaN
89;0.37;2.37;NaN;NaN
90;0.38;2.40;NaN;NaN
91;0.40;2.49;NaN;NaN
92;0.42;2.58;NaN;NaN
93;0.44;2.66;NaN;NaN
94;0.46;2.66;NaN;NaN
95;0.50;2.62;NaN;NaN
96;0.55;2.59;NaN;NaN
97;0.60;2.56;NaN;NaN
98;0.66;2.56;NaN;NaN
99;0.73;2.55;NaN;NaN
100;0.80;2.55;NaN;NaN
101;0.87;2.40;NaN;NaN
102;0.95;2.26;NaN;NaN
103;1.06;2.18;NaN;NaN
104;1.17;2.10;NaN;NaN
105;1.83;1.73;NaN;NaN
106;2.74;2.53;NaN;NaN
107;3.39;1.55;NaN;NaN
108;2.62;2.07;NaN;NaN
109;1.51;1.78;NaN;NaN
110;2.95;1.79;NaN;NaN
111;3.77;1.85;NaN;NaN
112;3.69;2.15;NaN;NaN
113;3.70;3.17;NaN;NaN
114;3.72;3.17;NaN;NaN
115;3.75;3.17;NaN;NaN
116;4.17;3.45;NaN;NaN
117;4.53;3.57;NaN;NaN
118;4.59;3.69;NaN;NaN
119;4.70;4.22;NaN;NaN
120;5.10;3.96;NaN;NaN
121;5.49;4.85;NaN;NaN
122;5.69;5.29;NaN;NaN
123;5.90;5.56;NaN;NaN
124;6.86;5.70;NaN;NaN
125;7.76;5.71;NaN;NaN
126;7.48;5.73;NaN;NaN
127;7.20;5.74;NaN;NaN
128;6.91;5.75;NaN;NaN
129;6.63;5.76;NaN;NaN
130;6.35;5.78;NaN;NaN
131;6.07;5.79;NaN;206.86
132;8.67;5.80;195.83;213.28
133;10.40;5.86;199.98;217.77
134;8.90;6.04;201.63;220.43
135;7.37;6.21;200.94;223.65
136;8.39;8.61;208.13;231.72
137;9.90;7.49;215.31;241.88
138;9.54;6.97;217.21;251.66
139;8.87;6.99;217.32;252.97
140;9.53;7.01;209.98;250.11
141;11.09;7.76;202.85;247.42
142;14.27;9.29;197.68;254.67
143;12.25;8.11;195.02;257.59
144;10.98;7.68;198.83;261.38
145;11.56;7.85;200.02;267.01
146;16.41;7.88;191.35;258.35
147;14.36;8.53;194.94;269.30
148;14.37;10.27;193.66;269.50
149;14.37;8.06;192.37;318.65
150;13.34;8.20;194.71;311.27
151;12.42;8.24;197.06;294.99
152;12.23;10.29;198.26;307.53
153;12.04;9.77;199.35;346.87
154;12.41;8.99;197.39;320.37
155;12.93;9.00;195.90;302.51
156;13.74;9.16;195.54;306.97
157;14.73;9.04;195.18;308.81
158;14.97;10.31;194.82;321.56
159;15.34;9.14;193.54;345.94
160;16.48;10.77;186.72;366.76
161;17.53;10.67;183.58;353.04
162;16.34;10.10;180.82;344.31
163;17.03;9.50;180.81;348.46
164;16.44;13.31;181.36;311.18
165;16.43;12.60;181.33;286.95
166;16.41;11.51;181.95;304.99
167;16.05;14.07;179.44;326.10
168;15.87;13.22;176.93;307.15
169;15.53;12.84;174.67;315.77
